   0.95999998   0.82530779  -0.23515286   0.29507747  -0.95115876
   0.91999996   0.82368058  -0.25415820   0.28476119  -0.95330304
   0.87999994   0.82343888  -0.27410957   0.27466464  -0.95894992
   0.83999991   0.82298046  -0.29231682   0.26533180  -0.96327966
   0.79999989   0.82213283  -0.31103334   0.25554973  -0.96821034
   0.75999987   0.82051331  -0.32805136   0.24623097  -0.97099990
   0.71999985   0.81936848  -0.34567621   0.23684613  -0.97461462
   0.67999983   0.81793648  -0.36222798   0.22785425  -0.97910106
   0.63999981   0.81782693  -0.37968466   0.21907113  -0.98513484
   0.59999979   0.81603330  -0.39654902   0.20974214  -0.98958611
   0.55999976   0.81418711  -0.41214672   0.20102020  -0.99340832
   0.51999974   0.81273901  -0.42781138   0.19246382  -0.99825615
   0.47999975   0.81128812  -0.44305444   0.18411684  -1.00273597
   0.43999976   0.80948102  -0.45740351   0.17603876  -1.00656879
   0.39999977   0.80784470  -0.47186768   0.16798851  -1.01195705
   0.35999978   0.80519640  -0.48511910   0.16003865  -1.01437199
   0.31999978   0.80206662  -0.49671885   0.15267389  -1.01571131
   0.27999979   0.80026138  -0.50974393   0.14525872  -1.02042758
   0.23999980   0.79845768  -0.52261621   0.13792074  -1.02490294
   0.19999981   0.79476351  -0.53405321   0.13035515  -1.02570903
   0.15999982   0.79090464  -0.54357928   0.12366268  -1.02742505
   0.11999982   0.78761208  -0.55587971   0.11586618  -1.02991891
   0.07999982   0.78237289  -0.56506443   0.10865423  -1.02931595
   0.03999982   0.77961618  -0.57465398   0.10248110  -1.03104162
  -0.00000018   0.77521777  -0.58534533   0.09493622  -1.03268194
  -0.04000018   0.77083647  -0.59341282   0.08871183  -1.03171337
  -0.08000018   0.76475596  -0.60188645   0.08143476  -1.03007579
  -0.12000018   0.75849533  -0.60897541   0.07475996  -1.02826715
  -0.16000018   0.75201613  -0.61551487   0.06825063  -1.02462387
  -0.20000017   0.74402004  -0.62256330   0.06072837  -1.02239656
  -0.24000016   0.73643053  -0.62935084   0.05353984  -1.01922083
  -0.28000015   0.72550529  -0.63270271   0.04640129  -1.01134300
  -0.32000014   0.71442634  -0.63648772   0.03896931  -1.00299311
  -0.36000013   0.69929826  -0.63815618   0.03057104  -0.99226904
  -0.40000013   0.68038738  -0.63636774   0.02200982  -0.97642314
