id,fecha,latitud,longitud,direccion,barrioNombre,altura,fuste,faseVital,estadoFitosanitario,inclinacion,ahuecamiento,problemaDesrames,problemaDescalzado,problemaFustePartido,problemaObjetoExtranio,problemaGrieta,problemaDesequilibrioCopa,manejoInadecuado,intervenciones,distForestalAdecuada,interf,cazuela,levantamientoVereda,observaciones,especieNombre,lugarRelevamientoNombre,tipoLugarNombre
76237,7/23/2018,-31.42064974,-64.16532218,596,Juniors,Menor a 4m.,"Menor a 0,10m.",Joven,Bueno,No,No,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Leve,Sin intervenciones,TRUE,FALSE,Franja Verde,No,,Pezuña de Vaca flor Blanca,Dr Garzón Agulla 500-600,Calle
76238,7/23/2018,-31.4205785,-64.16529905,596,Juniors,Entre 4m. y 7m.,"Entre 0,10m. y 0,40m.",Maduro,Regular,No,Leve,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,Leve,Mantenimiento,TRUE,FALSE,Adecuada,No,,Fresno Americano,Dr Garzón Agulla 500-600,Calle
76239,7/23/2018,-31.42052528,-64.16527558,586,Juniors,Menor a 4m.,"Entre 0,10m. y 0,40m.",Maduro,Regular,No,No,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Leve,Mantenimiento,TRUE,FALSE,Franja Verde,No,,Otra especie,Dr Garzón Agulla 500-600,Calle
76240,7/23/2018,-31.42045376,-64.16525144,578,Juniors,Entre 4m. y 7m.,"Entre 0,10m. y 0,40m.",Maduro,Regular,Leve,Leve,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,Leve,Mantenimiento,TRUE,FALSE,Franja Verde,No,,Otra especie,Dr Garzón Agulla 500-600,Calle
76241,7/23/2018,-31.42039882,-64.16523803,566,Juniors,Entre 7m. y 10m.,"Entre 0,10m. y 0,40m.",Maduro,Regular,Leve,No,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,No,Mantenimiento,TRUE,TRUE,Franja Verde,No,,Fresno Americano,Dr Garzón Agulla 500-600,Calle
76242,7/19/2018,-31.41772019,-64.16569568,316,Juniors,Entre 4m. y 7m.,"Entre 0,10m. y 0,40m.",Maduro,Regular,No,Leve,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Leve,Mantenimiento,TRUE,FALSE,Franja Verde,No,,Siempre Verde,Posadas 300-400,Calle
76243,7/23/2018,-31.42030297,-64.16520551,566,Juniors,Menor a 4m.,"Menor a 0,10m.",Joven,Bueno,Leve,No,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,No,Mantenimiento,TRUE,FALSE,Franja Verde,No,,Siempre Verde,Dr Garzón Agulla 500-600,Calle
76244,7/23/2018,-31.42021199,-64.16517332,556,Juniors,Entre 4m. y 7m.,"Entre 0,10m. y 0,40m.",Maduro,Regular,Leve,No,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,Leve,Mantenimiento,FALSE,FALSE,Franja Verde,No,,Siempre Verde,Dr Garzón Agulla 500-600,Calle
76245,7/23/2018,-31.42010298,-64.16516293,556,Juniors,Entre 7m. y 10m.,"Entre 0,10m. y 0,40m.",Maduro,Regular,No,No,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,Leve,Mantenimiento,FALSE,FALSE,Franja Verde,No,,Siempre Verde,Dr Garzón Agulla 500-600,Calle
76246,7/23/2018,-31.42002258,-64.16513309,546,Juniors,Entre 7m. y 10m.,"Entre 0,10m. y 0,40m.",Añoso,Regular,No,No,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,Severo,Mantenimiento,FALSE,FALSE,Franja Verde,No,,Fresno Americano,Dr Garzón Agulla 500-600,Calle
76247,7/19/2018,-31.41763951,-64.16568328,304,Juniors,Menor a 4m.,"Entre 0,10m. y 0,40m.",Maduro,Regular,No,No,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Leve,Mantenimiento,TRUE,FALSE,Franja Verde,No,,Siempre Verde,Posadas 300-400,Calle
76248,7/23/2018,-31.41994705,-64.1651056,534,Juniors,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,Franja Verde (F),,,F,Dr Garzón Agulla 500-600,Calle
76249,7/23/2018,-31.41990384,-64.16509084,524,Juniors,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,Franja Verde (F),,,F,Dr Garzón Agulla 500-600,Calle
76250,7/23/2018,-31.41986694,-64.16508079,524,Juniors,Entre 4m. y 7m.,"Menor a 0,10m.",Joven,Regular,No,No,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,No,Sin intervenciones,TRUE,FALSE,Franja Verde,No,,Roble Europeo,Dr Garzón Agulla 500-600,Calle
76251,7/23/2018,-31.41982316,-64.1650724,510,Juniors,Menor a 4m.,"Menor a 0,10m.",Joven,Regular,No,No,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,No,Sin intervenciones,TRUE,FALSE,Franja Verde,No,,Pezuña de Vaca flor Blanca,Dr Garzón Agulla 500-600,Calle
76252,7/23/2018,-31.41979026,-64.16506603,510,Juniors,Menor a 4m.,"Menor a 0,10m.",Joven,Bueno,No,No,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,No,Sin intervenciones,TRUE,FALSE,Franja Verde,No,,Fresno Americano,Dr Garzón Agulla 500-600,Calle
76253,7/23/2018,-31.42177044,-64.16561622,690,Juniors,Entre 7m. y 10m.,"Entre 0,10m. y 0,40m.",Maduro,Regular,Leve,Leve,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,Leve,Mantenimiento,TRUE,FALSE,Franja Verde,No,,Alamo Plateado,Dr Garzón Agulla 600-700,Calle
76254,7/23/2018,-31.4216723,-64.16559979,676,Juniors,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,Cazuela adecuada,,,F,Dr Garzón Agulla 600-700,Calle
76255,7/19/2018,-31.41739344,-64.16563299,294,Juniors,Menor a 4m.,"Menor a 0,10m.",Maduro,Regular,No,No,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Leve,Mantenimiento,TRUE,FALSE,Franja Verde,No,,Ligustro Aureo,Posadas 200-300,Calle
76256,7/23/2018,-31.42158962,-64.16556794,666,Juniors,Entre 4m. y 7m.,"Entre 0,10m. y 0,40m.",Maduro,Regular,Leve,No,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,No,Mantenimiento,TRUE,FALSE,Franja Verde,No,,Siempre Verde,Dr Garzón Agulla 600-700,Calle
76257,7/23/2018,-31.42153125,-64.16555151,666,Juniors,Menor a 4m.,"Entre 0,10m. y 0,40m.",Decrépito,Regular,No,Leve,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,No,Mantenimiento,TRUE,FALSE,Franja Verde,No,,Siempre Verde,Dr Garzón Agulla 600-700,Calle
76258,7/23/2018,-31.4214726,-64.16553006,656,Juniors,Menor a 4m.,"Menor a 0,10m.",Maduro,Bueno,No,No,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,No,Sin intervenciones,TRUE,FALSE,Franja Verde,No,,Limpiatubos,Dr Garzón Agulla 600-700,Calle
76259,7/23/2018,-31.42142281,-64.16551262,656,Juniors,Menor a 4m.,"Menor a 0,10m.",Joven,Regular,No,No,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,No,Sin intervenciones,TRUE,FALSE,Franja Verde,No,,Mora Negra - Blanca,Dr Garzón Agulla 600-700,Calle
76262,7/23/2018,-31.42137389,-64.16549519,646,Juniors,Entre 4m. y 7m.,"Entre 0,10m. y 0,40m.",Maduro,Regular,No,No,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,No,Sin intervenciones,TRUE,FALSE,Franja Verde,No,,Siempre Verde,Dr Garzón Agulla 600-700,Calle
76263,7/19/2018,-31.41732935,-64.16562058,290,Juniors,Entre 4m. y 7m.,"Entre 0,10m. y 0,40m.",Maduro,Regular,No,No,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Leve,Mantenimiento,TRUE,FALSE,Franja Verde,No,,Brachichito,Posadas 200-300,Calle
76264,7/23/2018,-31.42130894,-64.16548111,646,Juniors,Entre 4m. y 7m.,"Entre 0,10m. y 0,40m.",Maduro,Regular,No,No,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,No,Mantenimiento,TRUE,FALSE,Adecuada,No,,Siempre Verde,Dr Garzón Agulla 600-700,Calle
76265,7/23/2018,-31.42127089,-64.16547138,636,Juniors,Menor a 4m.,"Menor a 0,10m.",Joven,Bueno,No,No,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,No,Sin intervenciones,TRUE,FALSE,Franja Verde,No,,Siempre Verde,Dr Garzón Agulla 600-700,Calle
76266,7/23/2018,-31.42118019,-64.16544523,636,Juniors,Entre 7m. y 10m.,"Entre 0,10m. y 0,40m.",Maduro,Bueno,No,No,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,No,Sin intervenciones,TRUE,TRUE,Adecuada,Leve,,Algarrobo,Dr Garzón Agulla 600-700,Calle
76267,7/23/2018,-31.42108692,-64.16540734,626,Juniors,Entre 7m. y 10m.,"Entre 0,10m. y 0,40m.",Maduro,Regular,No,Leve,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,Severo,Mantenimiento,TRUE,FALSE,Inadecuada,Considerable,,Fresno Americano,Dr Garzón Agulla 600-700,Calle
